"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","BOOK","2018","12","1","Hexa-Go-Go : English paper piecing : 16 quilt projects / Tacha Bruecher.","Bruecher, Natasha, 1976-","Quilting Patterns, Patchwork Patterns, Hexagons","Stash Books,","[2012]"
"Physical","Horizon","BOOK","2018","12","8","Emergent strategy : shaping change, changing worlds / by Adrienne Maree Brown.","Brown, Adrienne M.","Social change, Mind and body therapies, Self help publications","AK Press,","[2017]"
"Digital","OverDrive","AUDIOBOOK","2018","12","2","The Crypt Thief: Hugo Marston Series, Book 2 (unabridged) (Unabridged)","Mark Pryor","Fiction, Mystery","Tantor Media, Inc","2018"
"Physical","Horizon","BOOK","2018","12","8","Seven brief lessons on physics / Carlo Rovelli ; translated by Simon Carnell and Erica Segre.","Rovelli, Carlo, 1956-","Physics","Riverhead Books,","2016."
"Physical","Horizon","VIDEODISC","2018","12","3","Tai chi & qi gong basics / director, James Wvinner ; executive producers, James Wvinner, Marie Guinto, and Elizabeth Martin (for Qi Gong) ; producer for Tai Chi, Paul Eckstein ; a Yoga, Tribe and Culture Production for Acacia.",,"Tai chi, Qi gong, Instructional films, Nonfiction films","Distributed exclusively by Acorn Media,","[2010]"
"Digital","OverDrive","EBOOK","2018","12","6","Witness: Lessons from Elie Wiesel's Classroom","Ariel Burger","Nonfiction, Religion & Spirituality","Houghton Mifflin Harcourt Trade and Reference","2018"
"Digital","OverDrive","AUDIOBOOK","2018","12","2","Other Kingdoms (Unabridged)","Richard Matheson","Fiction, Science Fiction","Blackstone Audio, Inc.","2011"
"Digital","OverDrive","AUDIOBOOK","2018","12","2","The Mystery on Blizzard Mountain: Boxcar Children Series, Book 86 (unabridged) (Unabridged)","Gertrude Chandler Warner","Juvenile Fiction, Mystery","Oasis Audio, LLC","2011"
"Physical","Horizon","BOOK","2018","12","5","Elephants can remember / Agatha Christie.","Christie, Agatha, 1890-1976","Poirot Hercule Fictitious character Fiction, Oliver Ariadne Fictitious character Fiction, Mystery fiction","Harper,","2011."
"Physical","Horizon","BOOK","2018","12","1","Our separate ways : black and white women and the struggle for professional identity / Ella L.J. Edmondson Bell, Stella M. Nkomo.","Bell, Ella L. J. Edmondson, 1949-","African American women executives, African American women in the professions","Harvard Business School Press,","[2001]"
"Physical","Horizon","BOOK","2018","12","1","The taste of America / John L. Hess & Karen Hess.","Hess, John L.","Food habits United States, Cooking American, Food industry and trade United States","Grossman Publishers,","1977."
"Physical","Horizon","BOOK","2018","12","4","The promised Neverland. 5, Escape / story by Kaiu Shirai ; art by Posuka Demizu ; [translation, Satsuki Yamashita ; touch-up art & lettering, Mark McMurray].","Shirai, Kaiu","Orphans Comic books strips etc, Orphanages Comic books strips etc, Demonology Comic books strips etc, Secrecy Comic books strips etc, Comic books strips etc Japan, Fantasy comics, Graphic novels","VIZ Media, LLC,","[2018]"
"Physical","Horizon","SOUNDDISC","2018","12","2","Cecily G. and the 9 monkeys / by H. A. Rey.","Rey, H. A. (Hans Augusto), 1898-1977","Curious George Fictitious character Juvenile fiction, Giraffe Juvenile fiction, Monkeys Juvenile fiction","Houghton Mifflin Company,","[2011]"
"Physical","Horizon","BOOK","2018","12","2","A surprise for Giraffe and Elephant / by Paul Gude.","Gude, Paul","Friendship Juvenile fiction, Elephants Juvenile fiction, Giraffe Juvenile fiction","Disney * Hyperion,","[2015]"
"Physical","Horizon","VIDEODISC","2018","12","2","Doctor Who. The next doctor / BBC Wales ; producer, Susie Liggat ; by Russell T. Davies ; director, Andy Goddard.",,"Doctor Fictitious character Drama, Human alien encounters Drama, Interplanetary voyages Drama, London England Drama, Science fiction television programs, Television series, Fiction television programs, Video recordings for the hearing impaired","BBC Worldwide ; Distributed in the USA and Canada by Warner Home Video,","[2009]"
"Digital","OverDrive","EBOOK","2018","12","1","The World to Come: Stories","Jim Shepard","Fiction, Literature, Short Stories","Random House, Inc.","2017"
"Physical","Horizon","VIDEODISC","2018","12","11","The chronicles of Narnia / a BBC Television production in association with Wonderworks.",,"Narnia Imaginary place Juvenile drama, Brothers and sisters Juvenile drama, Magic Juvenile drama, Good and evil Juvenile drama, Fantasy television programs, Action and adventure television programs, Television mini series, Childrens television programs, Video recordings for the hearing impaired, Fiction television programs","Distributed by BBC Worldwide Americas acting as agents for 2 entertain Video Ltd. ; Distributed in the USA and Canada by Warner Home Video,","[2010]"
"Digital","OverDrive","EBOOK","2018","12","6","Shadowshaper (The Shadowshaper Cypher, Book 1)","Daniel José Older","Fantasy, Young Adult Fiction","Scholastic, Inc. (US)","2015"
"Digital","OverDrive","AUDIOBOOK","2018","12","1","The Astonishing Power of Emotions: Let Your Feelings Be Your Guide (unabridged) (Unabridged)","Esther Hicks","New Age, Nonfiction, Self-Improvement","Hay House","2009"
"Digital","OverDrive","EBOOK","2018","12","2","Every Woman Has a Story™: Many Voices, Many Lessons, Many Lives","Daryl Ott Underhill","Nonfiction, Self-Improvement","Hachette Digital, Inc.","2013"
"Physical","Horizon","BOOK","2018","12","2","Santa and the three bears / Dominic Catalano.","Catalano, Dominic","Bears Juvenile fiction, Santa Claus Juvenile fiction","Boyds Mills Press,","2000."
"Physical","Horizon","BOOK","2018","12","1","Sock-yarn shawls : 15 lacy knitted shawl patterns / Jen Lucas.","Lucas, Jen, 1980-","Knitting Patterns, Shawls","Martingale,","[2013]"
"Physical","Horizon","BOOK","2018","12","3","Counting sheep / by Jacqueline Kelly ; illustrated by Jennifer L. Meyer.","Kelly, Jacqueline","Family life Texas Fiction, Veterinarians Juvenile fiction, Naturalists Juvenile fiction, Sex role Juvenile fiction, Families Texas Juvenile fiction, Texas History 1846 1950 Juvenile fiction","Henry Holt and Company,","2017."
"Physical","Horizon","BOOK","2018","12","1","Little Red rolls away / by Linda Whalen and illustrated by Jennifer E. Morris.","Whalen, Linda","Barns Juvenile fiction, Moving of buildings bridges etc Juvenile fiction, Picture books","Sleeping Bear Press,","[2017]"
"Physical","Horizon","BOOK","2018","12","1","Reader, I married him : stories inspired by Jane Eyre / edited by Tracy Chevalier.",,"Bront‰ Charlotte 1816 1855 Jane Eyre Influence, Short stories","William Morrow, an imprint of HarperCollins Publishers,","2016."
"Physical","Horizon","BOOK","2018","12","1","Chicken soup for the kid's soul : stories of courage, hope and laughter for kids ages 8-12 / [compiled by] Jack Canfield ... [and others].",,"Conduct of life Anecdotes, Children Conduct of life Juvenile literature, Self realization Juvenile literature, Values Juvenile literature, Anecdotes","Backlist, LLC, a unit of Chicken Soup for the Soul Publishing,","[2012]"
"Physical","Horizon","BOOK","2018","12","1","One gorilla : a counting book / Anthony Browne.","Browne, Anthony, 1946-","Primates Juvenile fiction, Animals Fiction, Counting Fiction","Candlewick Press,","2013."
"Physical","Horizon","BOOK","2018","12","3","Arm knitting : 30 no-needle projects for you and your home.",,"Knitting Patterns","DK Publishing,","2016."
"Physical","Horizon","BOOK","2018","12","1","A history of Northern Ireland, 1920-1996 / Thomas Hennessey.","Hennessey, Thomas","Northern Ireland History 1968 1998, Northern Ireland History 1998, Ulster Northern Ireland and Ireland History","St. Martin's Press,","1997."
"Physical","Horizon","BOOK","2018","12","2","Hold / Bob Hicok.","Hicok, Bob, 1960-","Poetry, Poetry","Copper Canyon Press,","[2019]"
"Physical","Horizon","BOOK","2018","12","2","ILLM Science and literature in the Middle Ages and at the period of the Renaissance.",,,,
"Physical","Horizon","BOOK","2018","12","5","How to read nature : awaken your senses to the outdoors you've never noticed : taste direction, smell time, hear the weather, and more / Tristan Gooley.","Gooley, Tristan","Nature, Senses and sensation, Outdoor life","Experiment,","2017."
"Digital","OverDrive","EBOOK","2018","12","3","The One Man: The Riveting and Intense Bestselling WWII Thriller","Andrew Gross","Fiction, Historical Fiction, Suspense, Thriller","Macmillan Publishers","2016"
"Digital","OverDrive","AUDIOBOOK","2018","12","9","Get Some Headspace: How Mindfulness Can Change Your Life in Ten Minutes a Day (unabridged) (Unabridged)","Andy Puddicombe","New Age, Nonfiction, Self-Improvement","Macmillan Audio","2012"
"Physical","Horizon","BOOK","2018","12","3","The Losers Club / Andrew Clements.","Clements, Andrew, 1949-","Books and reading Juvenile fiction, Clubs Juvenile fiction, Bullying Juvenile fiction, Schools Juvenile fiction","Random House,","[2017]"
"Physical","Horizon","BOOK","2018","12","2","The acid reflux solution : a cookbook and lifestyle guide for healing heartburn naturally / Jorge E. Rodriguez with Susan Wyler ; photography by Jennifer Martiné.","Rodríguez C., Jorge E.","Gastroesophageal reflux Popular works, Gastroesophageal reflux Diet therapy Recipes","Ten Speed Press,","[2012]"
"Physical","Horizon","VIDEODISC","2018","12","4","The amazing world of Gumball : the DVD / Cartoon Network.",,"Cats Juvenile drama, Rabbits Juvenile drama, Families Juvenile drama, Childrens television programs, Animated television programs, Video recordings for the hearing impaired","Warner Home Video,","2012."
"Physical","Horizon","BOOK","2018","12","1","Charles Rennie Mackintosh and the art of the four / Roger Billcliffe.","Billcliffe, Roger","Mackintosh Charles Rennie 1868 1928, Mackintosh Charles Rennie 1868 1928 Friends and associates, McNair J Herbert James Herbert 1868 1955, Mackintosh Margaret Macdonald 1864 1933, Macdonald Frances 1873 1921, Art Scottish 19th century, Art Scottish 20th century, Glasgow school of painting","Frances Lincoln,","2017."
"Digital","OverDrive","AUDIOBOOK","2018","12","2","Brief Encounters: Conversations, Magic Moments, and Assorted Hijinks (unabridged) (Unabridged)","Dick Cavett","Biography & Autobiography, Humor (Nonfiction), Nonfiction, Performing Arts","Macmillan Audio","2014"
"Digital","OverDrive","AUDIOBOOK","2018","12","1","Industrial Magic: Women of the Otherworld Series, Book 4 (unabridged) (Unabridged)","Kelley Armstrong","Fiction, Horror","Tantor Media, Inc","2009"
"Physical","Horizon","BOOK","2018","12","2","Hotel for dogs / by Lois Duncan.","Duncan, Lois, 1934-2016","Dogs Fiction","Scholastic,","2008."
"Physical","Horizon","BOOK","2018","12","1","Home safe : a novel / Elizabeth Berg.","Berg, Elizabeth","Widows Fiction, Mothers and daughters Fiction, Parent and adult child Fiction, Psychological fiction, Domestic fiction","Random House,","[2009]"
"Physical","Horizon","SOUNDDISC","2018","12","1","Street poison : the biography of Iceberg Slim / by Justin Gifford.","Gifford, Justin, 1975-","Iceberg Slim 1918 1992, African American authors Biography, African Americans Illinois Chicago Biography, Pimps Illinois Chicago Biography, Audiobooks","HighBridge Audio,","[2015]"
"Digital","OverDrive","AUDIOBOOK","2018","12","7","Something Borrowed, Someone Dead: Agatha Raisin Mystery Series, Book 24 (unabridged) (Unabridged)","M. C. Beaton","Fiction, Mystery","Blackstone Audio, Inc.","2013"
"Physical","Horizon","BOOK","2018","12","2","Kwanzaa / by Trudi Strain Trueit.","Trueit, Trudi Strain","Kwanzaa Juvenile literature, African Americans Social life and customs Juvenile literature, Holidays Juvenile literature","Children's Press,","[2007]"
"Physical","Horizon","SOUNDDISC","2018","12","1","The condensed 21st century guide to King Crimson, 1969-2003.","King Crimson (Musical group)","Progressive rock music, Rock music, Rock music","DGM,","[2006]"
"Digital","OverDrive","AUDIOBOOK","2018","12","1","Peter and the Wolf (Unabridged)","SERGEI PROKOFIEV","Classic Literature, Juvenile Fiction","Live Oak Media","2016"
"Physical","Horizon","SOUNDDISC","2018","12","2","Ultimate hits : rock and roll never forgets / Bob Seger & the Silver Bullet Band.","Seger, Bob","Rock music, Rock music 1971 1980","Capitol,","[2011]"
"Physical","Horizon","BOOK","2018","12","1","Troy : last war of the heroic age / by Si Sheppard ; illustrated by José Daniel Cabrera Peña & Rocío Espín Piñar.","Sheppard, Si, 1972-","Trojan War Juvenile literature, Mythology Greek Juvenile literature","Osprey Publishing, Limited,","2014."
"Physical","Horizon","BOOK","2018","12","1","A stitch of time : the year a brain injury changed my language and life / Lauren Marks.","Marks, Lauren","Marks Lauren, Aphasic persons United States Biography, Aneurysms Patients United States Biography, Aphasia Treatment Case studies, Aneurysms Complications Case studies, Actresses United States Biography, Autobiographies","Simon and Schuster,","2017."
"Digital","OverDrive","EBOOK","2018","12","1","The Neptune Project","Polly Holyoke","Juvenile Fiction, Juvenile Literature","Disney Digital Books","2015"
"Digital","OverDrive","AUDIOBOOK","2018","12","5","The Universe in Your Hand: A Journey through Space, Time, and Beyond (unabridged) (Unabridged)","Christophe Galfard","Nonfiction, Science","Blackstone Audio, Inc.","2016"
"Digital","OverDrive","EBOOK","2018","12","1","The Future of Life","Edward O. Wilson","Essays, Nature, Nonfiction, Science","Random House, Inc.","2010"
"Physical","Horizon","BOOK","2018","12","7","The Christmas pups / by Teresa Bateman ; illustrated by John Kanzler.","Bateman, Teresa","Dog adoption Juvenile fiction, Animal shelters Juvenile fiction, Dogs Fiction, Animals Infancy Juvenile fiction, Christmas Fiction","Albert Whitman,","2011."
"Digital","OverDrive","AUDIOBOOK","2018","12","1","Lending a Paw: Bookmobile Cat Mystery Series, Book 1 (unabridged) (Unabridged)","Laurie Cass","Fiction, Mystery","Tantor Media, Inc","2017"
"Physical","Horizon","BOOK","2018","12","3","The little gardener / by Emily Hughes.","Hughes, Emily (Emily M.)","Gardeners Juvenile fiction, Gardening Juvenile fiction, Body size Juvenile fiction, Persistence Juvenile fiction, Wishes Juvenile fiction","Flying Eye Books,","2015."
"Digital","OverDrive","AUDIOBOOK","2018","12","2","Hidden Currents: Sea Haven: Drake Sisters Series, Book 7 (unabridged) (Unabridged)","Christine Feehan","Fantasy, Fiction, Romance","Blackstone Audio, Inc.","2009"
"Physical","Horizon","SOUNDDISC","2018","12","1","Dub side of the mule / Gov't Mule.","Gov't Mule (Musical group)","Rock music 2001 2010, Reggae music","Evil Teen Records,","[2015]"
"Physical","Horizon","SOUNDDISC","2018","12","7","Pimsleur language programs. Spanish III B : the complete course.",,"Spanish language Sound recordings for English speakers, Spanish language Self instruction","Recorded Books LLC,","[1998]"
"Physical","Horizon","BOOK","2018","12","1","The elephant, the tiger, and the cell phone : reflections on India, the emerging 21st-century power / Shashi Tharoor.","Tharoor, Shashi, 1956-","India Civilization 21st century, India Politics and government 21st century, India Social conditions 21st century, India Economic conditions 21st century","Arcade Pub.,","[2007]"
"Physical","Horizon","BOOK","2018","12","6","The jungle book / Rudyard Kipling ; introduced by Christopher Paolini ; illustrations by Alan Langford.","Kipling, Rudyard, 1865-1936,","Mowgli Fictitious character Juvenile fiction, Jungle animals India Juvenile fiction, Feral children India Juvenile fiction, Childrens stories English","Puffin Books,","2015."
"Physical","Horizon","BOOK","2018","12","1","The plea / Steve Cavanagh.","Cavanagh, Steve","Criminal defense lawyers Fiction, Thrillers Fiction, Legal fiction Literature","Flatiron Books,","2018."
"Digital","OverDrive","EBOOK","2018","12","1","Notions of the Americans, Volume 1: Picked up by a Travelling Bachelor","James Fenimore Cooper","Nonfiction, Travel","Sterling Publishing Co., Inc.","2013"
"Physical","Horizon","BOOK","2018","12","1","Butterflies in November / Auður Ava Ólafsdóttir ; translated from the Icelandic by Brian FitzGibbon.","Auður A. Ólafsdóttir, 1958-","Iceland Fiction, Road fiction","Black Cat,","2014."
"Digital","OverDrive","AUDIOBOOK","2018","12","5","Killing It: An Education (unabridged) (Unabridged)","Camas Davis","Biography & Autobiography, Cooking & Food, Essays, Nonfiction","Books on Tape","2018"
"Physical","Horizon","BOOK","2018","12","1","Boyang tan ai qing / Boyang zhu ; Zhang Xianghua zhu bian.","Boyang, 1920-2008","Love","Huang guan chu ban she,","min guo 77 [1988]"
"Physical","Horizon","VIDEODISC","2018","12","1","Tyrant. The complete first season / Fox 21 ; FX Productions.",,"Dictators Drama, Families Drama, Fiction television programs, Television series, Video recordings for the hearing impaired","Twentieth Century Fox Home Entertainment,","2015."
"Digital","OverDrive","EBOOK","2018","12","60","The Tattooist of Auschwitz: A Novel","Heather Morris","Fiction, Historical Fiction, Literature","HarperCollins Publishers Inc.","2018"
"Physical","Horizon","SOUNDDISC","2018","12","1","Night time, my time ; Ghost EP / Sky Ferreira.","Ferreira, Sky, 1992-","Rock music 2011 2020","Capitol,","[2014]"
"Digital","OverDrive","EBOOK","2018","12","2","Fall of Angels: Saga of Recluce, Book 6","L. E. Modesitt, Jr.","Fantasy, Fiction","Macmillan Publishers","2014"
"Physical","Horizon","BOOK","2018","12","3","San Francisco / Alison Bing, John A Vlahides, Sara Benson, Ashley Harrell.","Bing, Alison","San Francisco Calif Guidebooks","Lonely Planet Publications Pty Ltd,","2017."
"Physical","Horizon","BOOK","2018","12","1","Appreciate your life : the essence of Zen practice / Taizan Maezumi ; edited by Wendy Egyoku Nakao and Eve Myonen Marko ; foreword by Bernie Glassman.","Maezumi, Hakuyū Taizan","Spiritual life Zen Buddhism","Shambhala,","2002."
"Digital","OverDrive","EBOOK","2018","12","1","Do What You Love, the Money Will Follow: Discovering Your Right Livelihood","Marsha Sinetar","Nonfiction, Self-Improvement","Random House, Inc.","2011"
"Physical","Horizon","BOOK","2018","12","1","Dominoes around the world / Mary D. Lankford ; illustrated by Karen Dugan.","Lankford, Mary D.","Dominoes Juvenile literature","Morrow Junior Books,","1998."
"Physical","Horizon","BOOK","2018","12","1","Bun Bun Button / Patricia Polacco.","Polacco, Patricia","Toys Juvenile fiction, Lost and found possessions Fiction, Grandmothers Juvenile fiction, Luck Fiction","G. P. Putnam's Sons,","2011."
"Physical","Horizon","BOOK","2018","12","1","A matter of magic / Patricia C. Wrede.","Wrede, Patricia C., 1953-","Magicians Juvenile fiction, Young women Juvenile fiction, Guardian and ward Juvenile fiction, Fantasy, London England 19th century Juvenile fiction","Orb,","[2010]"
"Digital","OverDrive","AUDIOBOOK","2018","12","12","Alaskan Holiday: A Novel (unabridged) (Unabridged)","Debbie Macomber","Fiction, Literature, Romance","Books on Tape","2018"
"Physical","Horizon","SOUNDDISC","2018","12","1","Day / by Elie Wiesel ; translated by Anne Borchardt.","Wiesel, Elie, 1928-2016","Holocaust Jewish 1939 1945 Fiction, Holocaust survivors Fiction, Audiobooks","Recorded Books,","[2006]"
"Physical","Horizon","BOOK","2018","12","2","Scents and sensibility : a Chet and Bernie mystery / Spencer Quinn.","Quinn, Spencer","Dogs Fiction, Private investigators Fiction, Large type books, Mystery fiction, Humorous fiction","Thorndike Press,","2016."
"Physical","Horizon","BOOK","2018","12","8","The Smurf apprentice : a Smurfs graphic novel / by Peyo ; [Smurflations, Joe Johnson ; Smurfic design, Adam Grano ; lettering Smurfette, Janice Chiang].","Peyo","Smurfs Fictitious characters Comic books strips etc, Magic Comic books strips etc, Monsters Comic books strips etc, Cartoons and comics, Fantasy comics, Graphic novels","Papercutz,","[2011]"
"Physical","Horizon","SOUNDDISC","2018","12","4","The very best of Gary U.S. Bonds : the original Legrand masters.","Bonds, Gary U. S.","Rock music To 1961, Rock music 1961 1970, Rhythm and blues music, Rock music, Rhythm and blues music","Varèse Sarabande,","℗1998."
"Digital","OverDrive","EBOOK","2018","12","1","Guinness World Records: Remarkable Robots","Delphine Finnegan","Juvenile Nonfiction, Language Arts, Reference, Technology","HarperCollins Publishers Inc.","2017"
"Physical","Horizon","SOUNDDISC","2018","12","2","The French press / Rolling Blackouts C. F.","Rolling Blackouts CF (Musical group)","Rock music 2011 2020, Rock music","Sub Pop Records,","[2016]"
"Physical","Horizon","BOOK","2018","12","1","The elements of typographic style / Robert Bringhurst.","Bringhurst, Robert","Layout Printing, Type and type founding, Book design, Printing","Hartley & Marks,","[2012]"
"Physical","Horizon","BOOK","2018","12","1","Beorn the proud / by Madeleine Polland ; illustrated by Joan Coppa Drennen.","Polland, Madeleine A.","Vikings Juvenile fiction, Slaves Juvenile fiction, Christianity Juvenile fiction, Denmark History To 1241 Juvenile fiction","Bethlehem Books ; Ignatius Press,","1999."
"Physical","Horizon","BOOK","2018","12","3","Out to lunch / Peggy Perry Anderson.","Anderson, Peggy Perry","Conduct of life Juvenile fiction, Frogs Juvenile fiction, Restaurants Juvenile fiction","Houghton Mifflin Harcourt,","2015."
"Physical","Horizon","BOOK","2018","12","1","Sealing their fate : twenty-two days that decided World War II / David Downing.","Downing, David, 1946-","Pearl Harbor Hawaii Attack on 1941, World War 1939 1945 Campaigns, World War 1939 1945 Campaigns Pacific Ocean","Da Capo Press,","2009."
"Physical","Horizon","VIDEODISC","2018","12","9","Dater's handbook / Crown Media Productions ; Hallmark Channel ; Front Street Pictures ; produced by Harvey Kahn ; written by Jennifer Barrow & Rich Tabach ; directed by James Head.",,"Man woman relationships Drama, Dating Social customs Drama, Made for TV movies, Television comedies, Fiction television programs, Video recordings for the hearing impaired","Hallmark Channel ; distributed by Cinedigm,","[2016]"
"Physical","Horizon","BOOK","2018","12","1","Andy Shane and the barn sale mystery / Jennifer Richard Jacobson ; illustrated by Abby Carter.","Jacobson, Jennifer, 1958-","Lost and found possessions Fiction, Friendship Fiction, Mystery and detective stories","Candlewick Press,","2009."
"Digital","OverDrive","EBOOK","2018","12","1","Where Are You Now?: A Novel","Mary Higgins Clark","Fiction, Literature, Suspense","Simon & Schuster, Inc.","2014"
"Physical","Horizon","SOUNDDISC","2018","12","2","Hidden figures : the untold true story of four African-American women who helped launch our nation into space / Margot Lee Shetterly.","Shetterly, Margot Lee","United States National Aeronautics and Space Administration Officials and employees Biography, Women mathematicians United States Biography, African American women Biography, African American mathematicians Biography, Space race, Audiobooks","Harper Audio,","[2016]"
"Physical","Horizon","VIDEODISC","2018","12","1","The secret life of the American teenager. Season two / ABC Family.",,"Teenage pregnancy Drama, Teenagers Conduct of life Drama, High school students Drama, Man woman relationships Drama, Families Drama, Teen television programs, Fiction television programs, Video recordings for the hearing impaired","Distributed by Buena Vista Home Entertainment,","[2009]"
"Physical","Horizon","SOUNDDISC","2018","12","2","Barber, Bartók, Jarrett.","Jarrett, Keith","Concertos Piano, Piano with orchestra","ECM Records,","[2015]"
"Physical","Horizon","BOOK","2018","12","1","When my worries get too big! : a relaxation book for children who live with anxiety / written and illustrated by Kari Dunn Buron ; foreword by Brenda Smith Myles.","Buron, Kari Dunn","Anxiety in children Treatment Juvenile literature, Autism spectrum disorders in children Treatment Juvenile literature, Autistic children Behavior modification Juvenile literature, Children with autism spectrum disorders Juvenile literature, Social skills in children Juvenile literature, Anxiety, Autism, Social skills","AAPC Publishing,","[2013]"
"Physical","Horizon","SOUNDDISC","2018","12","13","Keep me singing / Van Morrison.","Morrison, Van, 1945-","Popular music 2011 2020, Rock music 2011 2020, Rock music","Exile/Caroline,","[2016]"
"Physical","Horizon","BOOK","2018","12","10","Twinkle, twinkle, little car / written by Kate Dopirak ; illustrated by Mary Peterson.","Dopirak, Kate","Automobiles Juvenile fiction, Transportation Juvenile fiction, Bedtime Juvenile fiction, Stories in rhyme, Picture books","Beach Lane Books,","[2018]"
"Digital","OverDrive","EBOOK","2018","12","2","Rumpole Rests His Case","John Mortimer","Fiction, Mystery","Penguin Group (USA), Inc.","2010"
"Digital","OverDrive","AUDIOBOOK","2018","12","2","Lord Foulgrin's Letters (Abridged)","Randy Alcorn","Fiction, Literature, Science Fiction & Fantasy","Christian Audio, LLC","2015"
"Physical","Horizon","BOOK","2018","12","3","John dies at the end / David Wong.","Wong, David, 1975 January 10-","Friendship Fiction, Slackers Fiction, Horror fiction, Science fiction, Humorous fiction","Thomas Dunne Books/St. Martin's Press,","2009."
"Physical","Horizon","SOUNDDISC","2018","12","3","Ocean of confusion : songs of Screaming Trees, 1990-1996.","Screaming Trees (Musical group)","Rock music 1981 1990, Rock music 1991 2000","Epic/Legacy,","[2005]"
"Physical","Horizon","SOUNDDISC","2018","12","1","As you were / Liam Gallagher.","Gallagher, Liam, 1972-","Rock music 2011 2020, Rock music","Warner Bros.,","[2017]"
"Physical","Horizon","VIDEODISC","2018","12","10","Extraordinary ordinary people / directed by Allen Govenar ; written by Allen Govenar and Jason Johnson-Spinos ; produced by Documentary Arts.",,"National Endowment for the Arts National Heritage Fellowship, Ethnic arts United States, Folk artists United States, Nonfiction films, Documentary films, Video recordings for the hearing impaired","First Run Features,","[2018]"
"Physical","Horizon","BOOK","2018","12","1","What do authors and illustrators do? / by Eileen Christelow.","Christelow, Eileen","Childrens literature Authorship Juvenile literature, Authorship Juvenile literature, Authors Juvenile literature, Illustrators Juvenile literature, Illustration of books Juvenile literature, Book industries and trade Juvenile literature","Houghton Mifflin Harcourt,","[2013]"
"Physical","Horizon","BOOK","2018","12","4","Bizcocho encuentra un amigo / escrito por Alyssa Satin Capucilli ; ilustrado por Pat Schories ; traducido por Susana Pasternac.","Capucilli, Alyssa Satin, 1957-","Dogs Fiction, Ducks Fiction, Spanish language materials Fiction","Rayo,","[2008]"
"Digital","OverDrive","EBOOK","2018","12","2","The Naturally Clean Home: 150 Super-Easy Herbal Formulas for Green Cleaning","Karyn Siegel-Maier","Home Design & Décor, Nonfiction","Workman Publishing","2011"
"Digital","OverDrive","EBOOK","2018","12","3","Always: A Novel","Sarah Jio","Fiction, Literature, Romance","Random House, Inc.","2017"
"Physical","Horizon","BOOK","2018","12","1","The island broken in two halves : land and renewal movements among the Māori of New Zealand / Jean E. Rosenfeld.","Rosenfeld, Jean Elizabeth, 1940-","Maori New Zealand people Religion, Maori New Zealand people Land tenure, Maori New Zealand people Government relations, Nativistic movements New Zealand, Millennialism New Zealand","Pennsylvania State University Press,","[1999]"
"Digital","OverDrive","EBOOK","2018","12","2","Lily and the Octopus","Steven Rowley","Fantasy, Fiction, Literature, Romance","Simon & Schuster, Inc.","2016"
"Physical","Horizon","VIDEODISC","2018","12","1","The magic school bus. Cracks a yolk / Scholastic Productions, Inc.",,"Biology Juvenile films, Science Juvenile films, Frizzle Ms Fictitious character Juvenile films, School children Juvenile films, Elementary schools Juvenile films, School field trips Juvenile films, Science Study and teaching Juvenile films, Cities and towns Juvenile films, Animals Juvenile films, Chickens Juvenile films, Eggs Juvenile films, Deserts Juvenile films, Desert animals Juvenile films, Desert animals Adaptation Juvenile films, Desert plants Juvenile films, Desert plants Adaptation Juvenile films, Animated television programs Canada Juvenile films, Television series, Science television programs, Childrens television programs, Educational television programs, Fiction television programs","Scholastic : Distributed by Cinedigm Entertainment,","[2013]"
"Digital","OverDrive","AUDIOBOOK","2018","12","2","High Heat: A Jack Reacher Novella (unabridged) (Unabridged)","Lee Child","Fiction, Mystery, Suspense, Thriller","Books on Tape","2015"
"Digital","OverDrive","AUDIOBOOK","2018","12","3","Foundation's Edge: Foundation Series, Book 6 (unabridged) (Unabridged)","Isaac Asimov","Fiction, Science Fiction","Books on Tape","2011"
"Physical","Horizon","BOOK","2018","12","1","Indivisible : a novelization / written by Travis Thrasher ; foreword written by Darren Turner and Heather Turner.","Thrasher, Travis, 1971-","Military chaplains Fiction, Married people Fiction, Families of military personnel Fiction, Man woman relationships Fiction, Domestic fiction, Christian fiction, Romance fiction, Biographical fiction","Thomas Nelson,","[2018]"
"Physical","Horizon","BOOK","2018","12","1","Cesar Millan's lessons from the pack : stories of the dogs who changed my life / Cesar Millan ; with Melissa Jo Peltier.","Millan, Cesar","Millan Cesar, Dogs Behavior, Dogs Psychology, Dogs Training, Human animal relationships","National Geographic,","[2017]"
"Physical","Horizon","BOOK","2018","12","2","Hollow / Owen Egerton.","Egerton, Owen","Earth Planet Internal structure Fiction","Soft Skull Press,","[2017]"
"Physical","Horizon","SOUNDDISC","2018","12","10","Blue & lonesome / Rolling Stones.","Rolling Stones","Rock music 2011 2020, Blues Music 2011 2020, Rock music, Blues Music","Interscope,","[2016]"
"Physical","Horizon","SOUNDDISC","2018","12","1","The gift of fire ; On the head of a pin : two short novels from Crosstown to oblivion / Walter Mosley.","Mosley, Walter","Prometheus Greek deity Fiction, Animated films Fiction, Animation Cinematography Fiction, Fantasy fiction, Science fiction","Books on Tape,","[2012]"
